338166	Ahoj, jak se máš?	542215	Salut, comment vas-tu ?
338181	Všichni lidé rodí se svobodní a sobě rovní co do důstojnosti a práv. Jsou nadáni rozumem a svědomím a mají spolu jednat v duchu bratrství.	338179	Tous les êtres humains naissent libres et égaux en dignité et en droits. Ils sont doués de raison et de conscience et doivent agir les uns envers les autres dans un esprit de fraternité.
354549	Všechny moje dorty jsou chutné!	354540	Tous mes gâteaux sont délicieux !
354556	Máme ještě mnoho času.	331914	Nous avons encore beaucoup de temps.
458918	Nebojte se mluvit anglicky s chybami.	9816	N'aie pas peur de faire des erreurs quand tu parles anglais.
460486	Tatoeba je droga.	705362	Tatoeba, c’est une drogue.
463650	Před nádražím je banka.	1318167	Il y a une banque devant la gare.
521569	Rád objimám Veroniku.	521564	J’aime serrer Veronika dans mes bras.
521604	Líbí se mi, když mi odesilá pohlednice.	521594	J’aime quand elle m’envoie des cartes postales.
534316	Jak se téhle zelenině říká anglicky?	521935	Comment on appelle ce légume en anglais ?
551329	Krabice je ze dřeva.	139588	La boîte est en bois.
565694	Jsem úplně vyčerpaný.	551928	J’ai un coup de pompe.
565704	Rozloučil jsem se s přítelem na nádraží.	551919	Il a dit au revoir à son ami à la gare.
565712	Hned jsme se spřátelili.	551947	Nous avons tout de suite sympathisé.
565722	Požádal, abych mu peníze okamžitě vratil.	553694	Il a exigé que je lui rende l’argent rapidement.
601809	Voda mrzne při 0 stupních.	895015	L'eau gèle à zéro degré Celsius.
601817	I tak je to možné říci.	474123	Vous pouvez tout aussi bien le dire.
601820	Toho člověka nesnáším.	1279	Je ne supporte pas ce type.
646749	Strč prst skrz krk!	646750	Enfonce ton doigt dans ta gorge !
696471	Prosím, řekněte jasně ano, nebo ne.	1318150	S'il vous plaît, dites clairement oui ou non.
696480	Včera byl čtvrtek.	1318127	Hier, c'était jeudi.
871504	Kde jste se naučil tak dobře česky?	2381659	Où est-ce que vous avez si bien appris le tchèque ?
871512	Promiňte, jsem cizinec a neumím moc česky.	2381669	Excusez-moi, je suis étranger et je ne parle pas beaucoup tchèque.
871535	Já jsem cizinec a neumím moc česky. Mluvte prosím pomalu.	2381676	Je suis étranger et je ne parle pas beaucoup tchèque. Parlez lentement s'il vous plait.
