1276	Let's try something.	338207	Zkusme něco!
1277	I have to go to sleep.	338210	Musím jít spát.
1280	Today is June 18th and it is Muiriel's birthday!	338214	Dneska je 18. června a je Muiriel narozeniny!
1280	Today is June 18th and it is Muiriel's birthday!	3564938	Dnes je 18. června a Muiriel má narozeniny!
1282	Muiriel is 20 now.	338216	Muiriel je 20 nyní.
1282	Muiriel is 20 now.	3564939	Muiriel je teď 20.
1283	The password is "Muiriel".	338217	Heslo je "Muiriel".
1284	I will be back soon.	338218	Vrátím se brzy.
1284	I will be back soon.	1058128	Hned jsem zpátky.
1286	I'm at a loss for words.	338220	Nemám slov.
1287	This is never going to end.	338221	Tohle nikdy neskončí.
1288	I just don't know what to say.	338222	Já starčí nevím, co říct...
1288	I just don't know what to say.	3498296	Prostě nevím, co říct.
1289	That was an evil bunny.	338223	To byl zlý králík.
1290	I was in the mountains.	338224	Byl jsem v horách.
1291	Is it a recent picture?	338225	Je to nedávný snímek?
1292	I don't know if I have the time.	338226	Já nevím, jestli mám čas.
1294	Education in this world disappoints me.	338228	Vzdělávání v tomto světě mě nezklame.
1294	Education in this world disappoints me.	3564940	Vzdělání v tomto světě je pro mě zklamáním.
1295	You're in better shape than I am.	338229	Jste v lepším stavu než já.
1296	You are in my way.	338230	Vy jste v mé cestě.
1296	You are in my way.	3564919	Stojíš mi v cestě.
1298	This will cost €30.	338234	Toto bude stát 30 €.
1299	I make €100 a day.	338233	Vydělávám 100 € denně.
1332	For some reason I feel more alive at night.	1606451	Z nějakého důvodu se cítím živější v noci.
1340	So what?	1530763	No a co?
1341	I'm gonna shoot him.	1058182	Zastřelím ho.
1363	I thought you liked to learn new things.	3459240	Myslel jsem, že se nové věci učíš rád.
1363	I thought you liked to learn new things.	3459242	Myslel jsem, že se nové věci učíš ráda.
1383	I didn't know where it came from.	3498337	Nevěděl jsem, kde se to vzalo.
1394	I hate it when there are a lot of people.	3533728	Nenávidím, když je plno lidí.
1408	I don't know what you mean.	3498339	Nevím, co máte na mysli.
1427	No, he's not my new boyfriend.	3676670	Ne, on není můj nový přítel.
1434	I love you.	338163	Miluju tě.
1436	I am curious.	1065080	Jsem zvědavý.
1438	I don't want to wait that long.	3483780	Nechci čekat tak dlouho.
1443	I don't know what to do anymore.	3498340	Už nevím, co dělat.
1445	I hate chemistry.	3533730	Nenávidím chemii.
