1279	Je ne supporte pas ce type.	601820	Toho člověka nesnáším.
3252	Je suis curieux.	1065080	Jsem zvědavý.
3456	Le monde est une cage à fous.	1058203	Svět je blázinec.
3472	Merci, c'est tout.	1626990	Děkuji, to je vše.
3622	De nos jours nous désirons que nos enfants prennent leurs propres décisions, mais nous voulons que ces décisions nous conviennent.	1131666	V dnešní době toužíme, aby naše děti dělaly svá vlastní rozhodnutí, ovšem chceme se s těmito rozhodnutími ztotožňovat.
3651	La vie est belle.	3469358	Život je krásný.
3734	Aaah ! ! Mon ordinateur est cassé !	1059249	Ach! Rozbil se mi počítač.
6290	Je connais la vérité.	1047981	Znám pravdu.
6311	Je suis un garçon.	1048016	Jsem kluk.
6317	Je n'ai pas faim du tout.	1048022	Vůbec nemám hlad.
6710	J'apprends deux langues étrangères.	1131644	Učím se dva cizí jazyky.
9816	N'aie pas peur de faire des erreurs quand tu parles anglais.	458918	Nebojte se mluvit anglicky s chybami.
10665	Peu importe l'âge, un enfant est un enfant.	1336555	Nezáleži na věku, dítě je dítě.
10669	Peu importe que nous soyons proches ou non, je ne peux pas lui demander de faire cela.	1336570	Nezáleží na tom jak jsme si blízci, nemůžu mu to dát udělat.
10671	Quoi qu'il arrive, je sortirai quand il ne pleuvra plus.	1336580	Každopádně, půjdu když přestane pršet.
11126	Ken et Meg sont tous deux mes amis.	1138563	Ken i Meg jsou oba moji přátelé.
14885	Mon père se promène tous les jours.	3308926	Můj otec chodí každý den na procházku.
119807	C'est un livre concernant les étoiles.	2409425	To je kniha o hvězdách.
128411	Junko est une belle fille.	1134099	Junko je krásná dívka.
139588	La boîte est en bois.	551329	Krabice je ze dřeva.
181704	Le pique-nique a été annulé à cause de la pluie.	1133152	Piknik byl zrušen kvůli dešti.
331914	Nous avons encore beaucoup de temps.	354556	Máme ještě mnoho času.
335756	Quel est le poids de votre valise ?	1131894	Kolik váží váš kufr?
338179	Tous les êtres humains naissent libres et égaux en dignité et en droits. Ils sont doués de raison et de conscience et doivent agir les uns envers les autres dans un esprit de fraternité.	338181	Všichni lidé rodí se svobodní a sobě rovní co do důstojnosti a práv. Jsou nadáni rozumem a svědomím a mají spolu jednat v duchu bratrství.
354540	Tous mes gâteaux sont délicieux !	354549	Všechny moje dorty jsou chutné!
381949	Je voudrais une camomille.	3238834	Chtěla bych heřmánkový čaj.
381949	Je voudrais une camomille.	3238835	Chtěl bych heřmánkový čaj.
389048	Pékin est la capitale de la Chine.	3547288	Peking je hlavní město Číny.
409228	Ce que tu dis est vrai.	1717781	To, co říkáš, je pravda.
414518	Les yeux sont le miroir de l'âme.	1320375	Oči jsou zrcadlem duše.
442098	Je suis allé boire une bière avec mes amis.	3515504	Šel jsem na pivo s přáteli.
459605	Ce café est trop fort pour moi.	3308936	Tato káva je na mě příliš silná.
464115	Où se trouve ton père ?	1138536	Kde je tvůj otec?
474123	Vous pouvez tout aussi bien le dire.	601817	I tak je to možné říci.
475770	Un plus deux égale trois.	1096785	Jeden plus dvě se rovná tři.
483089	C'est la plus belle vue que j'ai jamais contemplée.	1137410	To je nejkrásnější podíváná, kterou jsem kdy viděl.
486506	Pourquoi ne pas dîner avec nous ?	1634481	Proč s námi neobědváš?
521564	J’aime serrer Veronika dans mes bras.	521569	Rád objimám Veroniku.
521594	J’aime quand elle m’envoie des cartes postales.	521604	Líbí se mi, když mi odesilá pohlednice.
521935	Comment on appelle ce légume en anglais ?	534316	Jak se téhle zelenině říká anglicky?
524931	Un plus deux est égal à trois.	1096785	Jeden plus dvě se rovná tři.
542215	Salut, comment vas-tu ?	338166	Ahoj, jak se máš?
547948	Plus on est de fous, plus on rit.	2381687	Čím víc, tím líp.
551919	Il a dit au revoir à son ami à la gare.	565704	Rozloučil jsem se s přítelem na nádraží.
551928	J’ai un coup de pompe.	565694	Jsem úplně vyčerpaný.
551947	Nous avons tout de suite sympathisé.	565712	Hned jsme se spřátelili.
553644	N'oublie pas d'acheter du lait.	3308921	Nezapomeň koupit mléko.
553694	Il a exigé que je lui rende l’argent rapidement.	565722	Požádal, abych mu peníze okamžitě vratil.
568652	Nous ne comprenons rien à ce que vous dites.	1131629	Nerozumíme ničemu z toho, co říkáte.
646750	Enfonce ton doigt dans ta gorge !	646749	Strč prst skrz krk!
678315	Elle était sur les lieux du crime.	1610975	Byla na místě činu.
683408	Voulez-vous coucher avec moi  ?	1059770	Chcete se se mnou vyspat?
705362	Tatoeba, c’est une drogue.	460486	Tatoeba je droga.
748309	Vous pouvez lire ce livre.	1138628	Můžete si tuhle knihu přečíst.
786401	Au commencement, Dieu créa les cieux et la terre.	1048536	Na počátku stvořil Bůh nebe a zemi.
816187	Ils discutèrent du plan durant des heures.	3308920	Probírali plán mnoho hodin.
895015	L'eau gèle à zéro degré Celsius.	601809	Voda mrzne při 0 stupních.
935545	Ma sœur travaille actuellement comme vendeuse au supermarché.	3308957	Má sestra nyní pracuje jako prodavačka v supermarketu.
1011747	On lui rasa la tête.	1814747	Oholili mu hlavu.
1041603	C'est une bonne question.	1002484	To je dobrá otázka.
1048576	Au commencement, Dieu créa le ciel et la terre.	1048536	Na počátku stvořil Bůh nebe a zemi.
1076306	Nous ne nous comprenons mutuellement pas.	1131640	Nerozumíme si navzájem.
1076716	« Tom ! » « Mary ! »	1657730	„Tome!“ „Mary!“
1114634	Je ne pleure pas.	1114423	Nepláču.
1115718	C'est le printemps.	2147807	Je jaro.
1121991	Le parti politique dépassait dans les premiers sondages la barre des cinq pour cent.	3308954	Politická strana překročila hranici pěti procent v prvních volebních průzkumech.
1126797	On parle anglais à Singapour.	1132487	V Singapuru se hovoří anglicky.
1130419	Il courbe sous le poids du sac.	1131890	Prohýbá se pod tíhou tašky.
1131698	Tu ne m'aimes pas.	1131708	Nemáš mě rád.
1131706	Ils ne relèvent pas de cette catégorie.	1131710	Nespadají do této kategorie.
1131713	J'espère vous voir dimanche prochain.	1131723	Doufám, že vás uvidím příští neděli.
1131720	Une langue peut être utilisée de diverses manières.	1131733	Jazyk může být používán rozličnými způsoby.
1131875	Tout condamné à mort aura la tête tranchée.	1132440	Každému odsouzenci na smrt bude sťata hlava.
1131897	Que les personnes qui ne comprennent pas ce que je dis lèvent la main.	1131899	Lidé, kteří nerozumí tomu, co říkám, ať zvednou ruku.
1132162	J'ai eu des difficultés à me procurer un billet pour le concert.	1132492	Měl jsem potíže se sháněním vstupenky na koncert.
1132274	Vous devez vous occuper de votre chien vous-même.	1133165	Musíte se postarat o vašeho psa sami.
1132446	Je ne mangerai pas de crème glacée.	1132489	Nebudu jíst zmrzlinu.
1133227	Je veux le faire par moi-même.	1133230	Chci to udělat sám.
1133232	Quelles terminaisons prend le verbe au présent ?	1133240	Jakých koncovek nabývá to sloveso v přítomném čase?
1133277	Les minorités ethniques luttent contre les préjugés, la pauvreté et l'oppression.	1133283	Národnostní menšiny bojují proti předsudkům, chudobě a útlaku.
1133281	Tous les gens sont bons au fond de leur cœur.	1133286	Všichni lidé jsou dobří v hloubi svých srdcí.
1133282	Je ne veux pas être dans sa peau.	1133284	Nechci být v jeho kůži.
1133285	Quoi ? Ne peux-tu toujours pas encore conduire ?	1133291	Cože? Ještě pořád nemůžeš řídit?
1133288	Elle ne me dit pas un mot.	1133293	Neříká mi ani slovo.
1133290	Le moteur s'arrête si tu appuies sur le bouton.	1133297	Kdyby jsi zmáčkl to tlačítko, motor by se zastavil.
1133295	Elle se teint toujours les cheveux.	1133298	Stále si barví vlasy.
1133296	Il a encore des doutes.	1133301	Má ještě pochyby.
1133340	Elle ne croit pas en Dieu.	1133346	Nevěří v boha.
1134236	Les trois grandes religions monothéistes sont le christianisme, l'islam et le judaïsme.	1134244	Tři široce rozšířená monoteistická náboženství jsou křesťanství, islám a judaismus.
1137933	Le siège est près de la porte.	1137995	Křeslo je přede dveřmi.
1137939	Est-ce que je peux faire quelque chose pour vous ?	1137986	Mohu pro vás něco udělat?
1137949	Hier j'ai construit un amplificateur.	1137950	Včera jsem sestavil zesilovač.
1137964	Depuis ce matin j'ai lu trois livres.	1137999	Od dnešního rána jsem přečetl tři knihy.
1137971	Il est suffisamment riche pour acheter deux voitures.	1137976	Je dost bohatý na to, aby koupil dvě auta.
1138259	Que devons-nous faire pour retourner à notre époque ?	1138271	Co bychom měli udělat k návratu do naší doby?
1138272	Dépêche-toi, s'il te plait !	1138275	Pospěšte prosím!
1138274	Nous ne savions pas quelle voiture acheter.	1138279	Nevěděli jsme, které auto koupit.
1138277	Le jeune homme est médecin.	1138284	Ten mladý muž je lékař.
1138283	Oui, je suis marié.	1138286	Ano, jsem ženatý.
1138392	Tom a fait beaucoup d'erreurs.	1138681	Tom udělal mnoho chyb.
1142668	Je vous souhaite un bon succès.	1142676	Přeji vám mnoho úspěchů.
1185627	N'ouvrez jamais la porte d'un véhicule en marche.	1138555	Nikdy neotevírejte dveře vozu, který je v pohybu.
1188695	Sur la table se trouve un vase.	1845603	Na stole je váza.
1318125	C'est encore loin ?	873611	Je to ještě daleko?
1318127	Hier, c'était jeudi.	696480	Včera byl čtvrtek.
1318133	Ça ne va pas durer aussi longtemps.	1047889	Nebude to tak dlouho trvat.
1318143	Sylvia aimait les concerts.	1105808	Sylvia milovala koncerty.
1318150	S'il vous plaît, dites clairement oui ou non.	696471	Prosím, řekněte jasně ano, nebo ne.
1318167	Il y a une banque devant la gare.	463650	Před nádražím je banka.
1319379	J'apprends le tchèque.	873661	Učím se česky.
1337188	C'est mal de dire un mensonge.	2381547	Neni dobré lhát.
1438084	Je vous téléphonerai toutes les nuits.	3308950	Budu vám každou noc volat.
1438084	Je vous téléphonerai toutes les nuits.	3308951	Každou noc vám zavolám.
1443397	J'ai lu que le président du Brésil est une femme. Elle s'appelle Dilma.	1443442	Četl jsem, že prezidentem Brazílie je žena. Jmenuje se Dilma.
1591308	C'est un livre qui traite des étoiles.	2409425	To je kniha o hvězdách.
1670138	Ce n'est pas bon signe.	3701828	To není dobré znamení.
1803326	Nous voulons tous vraiment que tu sois heureuse.	1802045	Všichni chceme, abys byla šťastná.
1820488	L'esclave essaya de s'enfuir.	2775505	Otrokyně zkusila utéct.
1820489	L'esclave a essayé de s'enfuir.	2775505	Otrokyně zkusila utéct.
1826762	“L’économie éloigne les deux rives de l’Atlantique”, La Stampa résume ainsi les conséquences des récentes déclarations de Barack Obama, selon lesquelles les maigres perspectives de croissance des États-Unis sont dues à la mauvaise gestion de la crise de la zone euro.	1826765	„Ekonomika od sebe vzdaluje oba břehy Atlantiku“ — tak shrnuje deník La Stampa důsledky nedávných prohlášení Baracka Obamy, podle kterého jsou špatné vyhlídky na hospodářský růst ve Spojených státech zaviněny špatným řízením krize v eurozóně.
1838501	L'avenir a plusieurs noms.	1838497	Budoucnost má hodně jmen.
1890403	Êtes-vous jamais montée à cheval ?	3308925	Už jste někdy jela na koni?
1949242	Je ne parviens pas à juguler l'hémorragie.	2144037	Nemohu to krvácení zastavit.
1970574	Je ne reste jamais où que ce soit assez longtemps pour me faire des amies.	3308949	Nikde nezůstávám dostatečně dlouho na to, abych si udělal kamarádky.
2005494	Tu as été prévenue.	3308946	Byl jsi varován.
